wrk debian/4.1.0-3build1 [epoll] Copyright (C) 2012 Will Glozer
Running 10m test @ http://172.18.0.4:32329
  16 threads and 16 connections
2 1728833572712.0437 1728833572749.0083 36.964599609375 47.00830078125
15 1728833572738.437 1728833573141.7095 403.2724609375 430.70947265625
15 1728833572753.6462 1728833573329.6348 575.988525390625 621.634765625
25 1728833572727.9988 1728833573347.5967 619.597900390625 643.5966796875
1 1728833573227.8123 1728833573350.143 122.330810546875 125.14306640625
25 1728833572707.5276 1728833573448.4531 740.925537109375 745.453125
30 1728833572709.6936 1728833573548.0007 838.30712890625 846.000732421875
25 1728833572756.0103 1728833573549.9011 793.890869140625 840.901123046875
50 1728833572735.1853 1728833574251.9214 1516.736083984375 1546.92138671875
25 1728833573437.4695 1728833574535.2837 1097.814208984375 1105.28369140625
25 1728833574336.7905 1728833574833.0144 496.223876953125 500.014404296875
30 1728833574897.6514 1728833575034.311 136.65966796875 139.31103515625
50 1728833573639.4954 1728833575439.4993 1800.00390625 1809.499267578125
2 1728833575502.5364 1728833575534.4392 31.90283203125 34.439208984375
40 1728833575135.4502 1728833576031.4421 895.991943359375 903.442138671875
15 1728833575635.9263 1728833576138.6018 502.675537109375 510.601806640625
3 1728833576152.2632 1728833576244.5088 92.24560546875 95.5087890625
25 1728833576321.6643 1728833576432.3276 110.663330078125 114.32763671875
100 1728833573417.3513 1728833576633.391 3216.039794921875 3218.39111328125
25 1728833576467.446 1728833576829.1826 361.736572265625 365.1826171875
200 1728833576048.7654 1728833577538.7427 1489.977294921875 1493.74267578125
150 1728833576698.785 1728833577931.6956 1232.91064453125 1235.695556640625
150 1728833577615.777 1728833578441.0725 825.29541015625 828.072509765625
250 1728833576921.187 1728833578529.4976 1608.310546875 1610.49755859375
2 1728833578572.3948 1728833578631.722 59.3271484375 62.721923828125
350 1728833578028.0444 1728833580136.5508 2108.50634765625 2111.55078125
200 1728833573533.3777 1728833580143.514 6610.13623046875 6614.513916015625
3 1728833580210.281 1728833580232.01 21.72900390625 25.010009765625
200 1728833580328.1003 1728833581539.1384 1211.0380859375 1214.138427734375
40 1728833581554.166 1728833582235.7031 681.537109375 684.703125
200 1728833582312.684 1728833583434.7476 1122.0634765625 1124.74755859375
15 1728833583470.649 1728833583629.2559 158.60693359375 162.255859375
350 1728833572718.501 1728833584244.2341 11525.733154296875 11536.234130859375
200 1728833583721.8984 1728833585329.0056 1607.107177734375 1611.005615234375
150 1728833584329.5151 1728833585731.1252 1401.610107421875 1405.125244140625
250 1728833585372.7612 1728833587428.0854 2055.32421875 2058.08544921875
250 1728833585796.9658 1728833587832.8337 2035.867919921875 2039.833740234375
1 1728833587930.327 1728833587934.8738 4.546875 7.873779296875
1000 1728833580152.7341 1728833588131.3691 7978.635009765625 7982.369140625
50 1728833588208.6392 1728833588533.3542 324.715087890625 328.354248046875
3 1728833588569.3281 1728833588632.908 63.579833984375 67.907958984375
1 1728833588725.279 1728833588730.2275 4.948486328125 8.2275390625
500 1728833572752.216 1728833589040.698 16288.48193359375 16329.697998046875
500 1728833572733.7317 1728833590032.0457 17298.31396484375 17328.045654296875
500 1728833574598.6716 1728833590433.1099 15834.438232421875 15836.10986328125
350 1728833588773.7654 1728833591731.0684 2957.302978515625 2961.068359375
500 1728833587948.9336 1728833592129.7234 4180.789794921875 4183.723388671875
200 1728833590530.6958 1728833592429.1838 1898.488037109375 1902.183837890625
50 1728833591792.68 1728833592529.7725 737.092529296875 739.7724609375
1 1728833592546.087 1728833592634.6409 88.553955078125 91.640869140625
15 1728833592651.409 1728833592828.029 176.6201171875 179.029052734375
700 1728833587490.9717 1728833593339.4368 5848.465087890625 5852.436767578125
15 1728833593356.313 1728833593535.7332 179.420166015625 182.733154296875
150 1728833593547.1865 1728833594929.9014 1382.71484375 1384.9013671875
2000 1728833578693.7566 1728833595128.4585 16434.701904296875 16438.45849609375
5 1728833595167.9097 1728833595236.1714 68.26171875 71.17138671875
700 1728833589124.7458 1728833595441.1572 6316.411376953125 6320.1572265625
40 1728833595145.0173 1728833595527.6396 382.622314453125 385.6396484375
700 1728833595321.1655 1728833601439.4429 6118.27734375 6121.44287109375
3 1728833601460.8032 1728833601533.4731 72.669921875 75.47314453125
1000 1728833572722.9521 1728833602839.545 30116.5927734375 30133.544921875
1000 1728833572839.791 1728833603444.2104 30604.41943359375 30611.21044921875
15 1728833603508.693 1728833603631.631 122.93798828125 125.631103515625
250 1728833602923.5464 1728833605140.251 2216.70458984375 2219.2509765625
1 1728833605205.1467 1728833605231.539 26.392333984375 29.5390625
200 1728833603728.27 1728833605538.9834 1810.71337890625 1813.9833984375
500 1728833605326.8923 1728833610135.6338 4808.741455078125 4811.6337890625
2000 1728833595539.478 1728833613536.1924 17996.71435546875 18000.1923828125
250 1728833613773.573 1728833616340.8945 2567.321533203125 2569.89453125
350 1728833616426.6997 1728833620228.905 3802.205322265625 3804.905029296875
30 1728833620252.1423 1728833620540.8071 288.664794921875 293.80712890625
2000 1728833572721.032 1728833625037.727 52316.695068359375 52330.72705078125
15 1728833625129.7366 1728833625442.69 312.953369140625 316.68994140625
2000 1728833572715.978 1728833625633.6848 52917.706787109375 52926.684814453125
2000 1728833572680.6392 1728833625831.9414 53151.30224609375 53154.94140625
50 1728833625721.1467 1728833626143.0837 421.93701171875 427.083740234375
50 1728833625896.7412 1728833626339.3948 442.653564453125 446.394775390625
250 1728833625509.0005 1728833628333.9497 2824.94921875 2827.94970703125
4000 1728833592206.2188 1728833630631.6216 38425.40283203125 38427.62158203125
1000 1728833620784.4949 1728833631635.205 10850.710205078125 10855.205078125
100 1728833630666.5938 1728833631830.2808 1163.68701171875 1166.28076171875
2 1728833631922.334 1728833631933.302 10.968017578125 14.302001953125
1 1728833631976.7468 1728833632033.3066 56.559814453125 59.306640625
700 1728833628430.2046 1728833636328.4456 7898.240966796875 7901.445556640625
700 1728833632100.3198 1728833640341.9812 8241.661376953125 8250.981201171875
5 1728833640361.2285 1728833640439.2715 78.04296875 81.271484375
1 1728833640450.7656 1728833640533.112 82.346435546875 85.112060546875
150 1728833640769.9204 1728833642629.583 1859.66259765625 1862.5830078125
50 1728833642714.84 1728833643141.8748 427.03466796875 429.874755859375
4000 1728833572725.5015 1728833654132.1682 81406.66674804688 81426.16821289062
4000 1728833573634.7678 1728833654433.0513 80798.28344726562 80804.05126953125
4000 1728833573413.0544 1728833654933.261 81520.20654296875 81522.26098632812
2000 1728833631668.7776 1728833655343.091 23674.3134765625 23679.091064453125
4000 1728833578475.619 1728833655931.0442 77455.42529296875 77458.04418945312
350 1728833655380.5693 1728833659231.706 3851.13671875 3853.7060546875
350 1728833659281.1968 1728833663530.7144 4249.517578125 4252.71435546875
50 1728833663610.9436 1728833664129.8784 518.934814453125 521.87841796875
4000 1728833626209.1082 1728833672030.8599 45821.751708984375 45823.85986328125
4000 1728833626435.0068 1728833672538.6772 46103.67041015625 46106.67724609375
25 1728833672128.9985 1728833672629.8867 500.88818359375 503.88671875
1 1728833672560.058 1728833672632.371 72.31298828125 75.37109375
3 1728833672708.3555 1728833672734.8816 26.526123046875 29.881591796875
25 1728833672644.279 1728833672934.1804 289.9013671875 294.180419921875
1 1728833673012.437 1728833673032.2107 19.773681640625 25.210693359375
50 1728833672769.0725 1728833673241.0574 471.98486328125 475.057373046875
8000 1728833590118.0137 1728833675943.0176 85825.00390625 85828.017578125
250 1728833673332.137 1728833676140.269 2808.132080078125 2811.26904296875
50 1728833676011.4575 1728833676532.1113 520.65380859375 526.111328125
8000 1728833592443.6292 1728833677334.5237 84890.89453125 84893.52368164062
3 1728833677415.855 1728833677434.9075 19.052490234375 21.907470703125
40 1728833676629.2632 1728833677440.6992 811.43603515625 814.69921875
3 1728833677454.9905 1728833677535.1748 80.184326171875 83.1748046875
15 1728833677469.0278 1728833677636.3171 167.289306640625 170.317138671875
2000 1728833654498.3538 1728833677839.0852 23340.7314453125 23343.085205078125
200 1728833676185.3855 1728833678536.3967 2351.01123046875 2355.396728515625
8000 1728833593064.8806 1728833678836.9207 85772.0400390625 85774.92065429688
8000 1728833595506.2822 1728833681541.1113 86034.8291015625 86037.111328125
4000 1728833636342.5076 1728833682832.2175 46489.7099609375 46492.217529296875
2 1728833682909.303 1728833682933.6428 24.33984375 27.642822265625
1 1728833682967.6604 1728833683031.8225 64.162109375 66.822509765625
500 1728833677729.1655 1728833683629.5964 5900.430908203125 5904.596435546875
1000 1728833673066.921 1728833684240.2056 11173.28466796875 11176.20556640625
150 1728833683122.814 1728833684630.2993 1507.4853515625 1510.29931640625
40 1728833684673.8115 1728833685334.1375 660.325927734375 663.137451171875
700 1728833677612.7073 1728833685831.2969 8218.589599609375 8223.296875
200 1728833684332.5671 1728833686729.359 2396.791748046875 2399.35888671875
700 1728833678921.7476 1728833687139.15 8217.40234375 8220.14990234375
40 1728833687159.747 1728833687639.9678 480.220703125 482.9677734375
350 1728833683677.1558 1728833687830.7466 4153.5908203125 4156.74658203125
2 1728833687878.3135 1728833687933.1577 54.84423828125 57.15771484375
30 1728833687963.1152 1728833688239.26 276.144775390625 280.260009765625
250 1728833685866.8613 1728833688730.3777 2863.516357421875 2866.377685546875
1000 1728833677935.534 1728833689142.338 11206.803955078125 11210.337890625
30 1728833689156.0613 1728833689730.0173 573.9560546875 577.017333984375
700 1728833681641.3804 1728833689836.5974 8195.217041015625 8200.597412109375
5 1728833689805.9958 1728833689838.5461 32.55029296875 35.546142578125
100 1728833688822.6594 1728833690140.115 1317.45556640625 1320.114990234375
4000 1728833643165.0073 1728833690541.085 47376.07763671875 47381.0849609375
8000 1728833601771.8735 1728833690740.4355 88968.56201171875 88971.435546875
250 1728833688275.0862 1728833691036.2183 2761.132080078125 2764.21826171875
150 1728833690185.3271 1728833691535.282 1349.954833984375 1353.281982421875
50 1728833691084.2688 1728833691538.0984 453.82958984375 457.098388671875
2 1728833691617.2239 1728833691632.937 15.713134765625 17.93701171875
40 1728833691596.6985 1728833692332.713 736.014404296875 738.712890625
700 1728833686772.9739 1728833694630.9312 7857.957275390625 7860.93115234375
250 1728833691696.306 1728833694735.088 3038.781982421875 3044.087890625
3 1728833694695.1794 1728833694827.7202 132.540771484375 135.72021484375
2 1728833694844.3054 1728833694935.002 90.696533203125 94.001953125
8000 1728833605552.8232 1728833695639.6277 90086.80444335938 90089.62768554688
700 1728833687892.6375 1728833695741.4026 7848.76513671875 7851.402587890625
1 1728833695758.3218 1728833695832.0525 73.730712890625 77.052490234375
500 1728833689874.0146 1728833695941.9465 6067.931884765625 6071.946533203125
40 1728833695716.8198 1728833696041.2551 324.435302734375 327.255126953125
30 1728833695846.0735 1728833696138.8342 292.7607421875 295.834228515625
40 1728833696075.0283 1728833696440.8748 365.846435546875 368.874755859375
1000 1728833685395.6353 1728833696632.6362 11237.0009765625 11239.63623046875
50 1728833696649.0933 1728833697439.3723 790.279052734375 793.372314453125
2 1728833697451.065 1728833697533.294 82.22900390625 85.2939453125
350 1728833696034.2253 1728833700031.5625 3997.337158203125 4000.5625
1 1728833700078.1187 1728833700135.0757 56.95703125 62.07568359375
1 1728833700196.9412 1728833700231.9812 35.0400390625 37.981201171875
500 1728833694843.43 1728833700635.5986 5792.168701171875 5794.5986328125
1000 1728833690780.57 1728833701932.212 11151.641845703125 11154.2119140625
500 1728833696535.0432 1728833702331.2344 5796.191162109375 5801.234375
4000 1728833654225.3389 1728833703041.0413 48815.702392578125 48825.041259765625
8000 1728833610150.7815 1728833703534.8567 93384.0751953125 93387.85668945312
350 1728833700648.0425 1728833704428.9033 3780.86083984375 3783.9033203125
40 1728833704667.988 1728833705338.5034 670.515380859375 674.50341796875
700 1728833697770.45 1728833705641.0325 7870.58251953125 7874.032470703125
5 1728833705726.0642 1728833705737.1985 11.13427734375 14.198486328125
500 1728833700248.523 1728833707542.2297 7293.706787109375 7297.229736328125
3 1728833707558.173 1728833707634.3025 76.12939453125 80.302490234375
350 1728833703611.7268 1728833707736.2395 4124.5126953125 4127.239501953125
250 1728833705424.3374 1728833708133.7263 2709.388916015625 2711.726318359375
40 1728833707770.6582 1728833708140.7058 370.047607421875 372.705810546875
1 1728833708154.9932 1728833708231.8218 76.82861328125 79.82177734375
250 1728833705757.5967 1728833708441.8618 2684.26513671875 2686.86181640625
30 1728833708232.2202 1728833708531.074 298.853759765625 302.073974609375
500 1728833703107.8042 1728833708534.8208 5427.0166015625 5429.82080078125
15 1728833708469.7095 1728833708633.5127 163.80322265625 166.5126953125
2 1728833708574.5798 1728833708634.1116 59.53173828125 63.111572265625
3 1728833708680.0608 1728833708734.7822 54.721435546875 57.7822265625
25 1728833708763.364 1728833709134.2292 370.865234375 374.229248046875
700 1728833701962.3813 1728833710236.9932 8274.61181640625 8277.9931640625
4000 1728833664198.7217 1728833710239.6921 46040.970458984375 46050.692138671875
5 1728833710275.8384 1728833710340.2983 64.4599609375 68.29833984375
100 1728833709169.5461 1728833710540.5415 1370.995361328125 1373.54150390625
30 1728833710390.5244 1728833710732.9597 342.435302734375 346.959716796875
40 1728833710348.1694 1728833710830.1318 481.96240234375 485.1318359375
250 1728833710589.5112 1728833713629.0786 3039.5673828125 3043.07861328125
5 1728833713709.3342 1728833713737.4236 28.08935546875 31.423583984375
25 1728833713799.374 1728833714038.05 238.676025390625 241.050048828125
3 1728833714145.987 1728833714235.2305 89.243408203125 92.23046875
500 1728833708694.6077 1728833714738.5752 6043.967529296875 6046.5751953125
2000 1728833690772.0544 1728833716231.7234 25459.6689453125 25464.723388671875
200 1728833714756.2114 1728833717528.4963 2772.284912109375 2775.496337890625
5 1728833717541.2395 1728833717637.3677 96.128173828125 99.36767578125
100 1728833716269.879 1728833717731.0134 1461.134521484375 1464.013427734375
350 1728833714281.6716 1728833718537.0303 4255.358642578125 4258.0302734375
1 1728833718557.9878 1728833718632.98 74.9921875 77.97998046875
700 1728833710811.7139 1728833718843.1094 8031.3955078125 8034.109375
200 1728833717874.3943 1728833720232.659 2358.2646484375 2360.658935546875
1 1728833720319.3984 1728833720333.136 13.737548828125 17.135986328125
150 1728833718708.499 1728833720542.0264 1833.52734375 1836.0263671875
