wrk debian/4.1.0-3build1 [epoll] Copyright (C) 2012 Will Glozer
Running 10m test @ http://172.18.0.4:32329
  16 threads and 16 connections
1 1728835304162.0852 1728835304167.5579 5.47265625 8.557861328125
5 1728835304189.0415 1728835304229.771 40.7294921875 46.77099609375
2 1728835304185.1826 1728835304211.5735 26.390869140625 29.573486328125
1 1728835304205.6575 1728835304233.4714 27.81396484375 45.471435546875
5 1728835304342.0403 1728835304738.2588 396.218505859375 399.2587890625
15 1728835304263.5188 1728835305146.1338 882.614990234375 886.1337890625
30 1728835304200.215 1728835305346.988 1146.77294921875 1159.988037109375
30 1728835304222.1204 1728835305437.7078 1215.58740234375 1247.707763671875
50 1728835304217.455 1728835305936.3564 1718.9013671875 1752.3564453125
50 1728835304209.3152 1728835306042.0396 1832.724365234375 1856.03955078125
50 1728835304194.7856 1728835306232.6543 2037.86865234375 2044.654296875
1 1728835306138.2136 1728835306242.461 104.247314453125 113.4609375
1 1728835306308.3823 1728835306439.003 130.62060546875 133.0029296875
50 1728835304311.1006 1728835306547.7222 2236.62158203125 2238.72216796875
50 1728835305241.4072 1728835307135.7932 1894.385986328125 1907.793212890625
30 1728835306317.234 1728835307545.408 1228.174072265625 1230.407958984375
100 1728835304213.7178 1728835307549.0486 3335.330810546875 3364.048583984375
2 1728835307609.0852 1728835307641.8318 32.74658203125 35.831787109375
100 1728835304344.0244 1728835308031.386 3687.361572265625 3692.385986328125
25 1728835307755.4949 1728835308544.3645 788.86962890625 791.364501953125
100 1728835308095.174 1728835308634.6797 539.505615234375 542.6796875
150 1728835304224.1692 1728835308942.6704 4718.501220703125 4756.67041015625
150 1728835304202.6956 1728835309033.6147 4830.919189453125 4847.61474609375
150 1728835308559.4253 1728835310238.5525 1679.127197265625 1682.552490234375
100 1728835309165.681 1728835310637.7463 1472.0654296875 1474.746337890625
100 1728835309142.4968 1728835310641.2822 1498.785400390625 1617.2822265625
100 1728835307633.4258 1728835310935.509 3302.083251953125 3307.509033203125
30 1728835310709.3352 1728835310940.512 231.1767578125 234.511962890625
50 1728835311038.729 1728835311831.3716 792.642578125 797.37158203125
30 1728835311846.2927 1728835312439.2378 592.945068359375 596.23779296875
100 1728835311000.6167 1728835312443.634 1443.017333984375 1445.634033203125
200 1728835310315.5928 1728835312934.694 2619.101318359375 2621.694091796875
200 1728835307202.7063 1728835313143.3628 5940.656494140625 5943.36279296875
350 1728835308731.8562 1728835313236.1824 4504.326171875 4507.182373046875
250 1728835306612.4446 1728835314139.947 7527.50244140625 7529.947021484375
250 1728835306541.1887 1728835314246.397 7705.208251953125 7711.39697265625
2 1728835314260.4116 1728835314433.1304 172.71875 176.13037109375
15 1728835314509.9856 1728835315031.752 521.766357421875 524.751953125
5 1728835315067.8523 1728835315239.3462 171.493896484375 174.34619140625
50 1728835314240.2305 1728835315539.3054 1299.074951171875 1305.305419921875
350 1728835305522.0183 1728835315839.2788 10317.260498046875 10320.27880859375
50 1728835315556.3796 1728835316930.1658 1373.7861328125 1376.165771484375
500 1728835304197.796 1728835317731.6157 13533.81982421875 13544.61572265625
1 1728835317818.5442 1728835317834.7693 16.22509765625 19.769287109375
