wrk debian/4.1.0-3build1 [epoll] Copyright (C) 2012 Will Glozer
Running 10m test @ http://172.18.0.4:32329
  16 threads and 16 connections
1 2.49462890625 89.457275390625 89.457275390625 30
2 6.15966796875 96.3681640625 96.3681640625 150
15 3.38916015625 236.20166015625 236.20166015625 0
15 3.50048828125 295.999267578125 295.999267578125 2000
3 3.203125 72.371826171875 72.371826171875 4000
15 4.9853515625 294.66259765625 294.66259765625 25
25 3.2626953125 494.415771484375 494.415771484375 0
25 3.033447265625 490.922607421875 490.922607421875 40
2 2.99560546875 98.919677734375 98.919677734375 0
30 2.6826171875 590.7802734375 590.7802734375 0
30 3.9228515625 590.43115234375 590.43115234375 40
30 6.0712890625 592.242431640625 592.242431640625 0
15 3.0732421875 268.957275390625 268.957275390625 0
40 4.026611328125 695.095947265625 695.095947265625 0
40 3.7646484375 694.189697265625 694.189697265625 0
25 3.36767578125 408.491943359375 409.491943359375 0
25 3.433349609375 376.16796875 376.16796875 40
40 2.685302734375 671.905517578125 671.905517578125 0
40 2.8740234375 675.98779296875 675.98779296875 4000
3 2.803466796875 199.26708984375 199.26708984375 200
30 3.20947265625 551.1611328125 551.1611328125 0
2 2.536865234375 79.808837890625 79.808837890625 0
150 3.435546875 2702.62255859375 2702.62255859375 2000
15 2.805419921875 278.020263671875 278.020263671875 0
3 3.048095703125 66.195556640625 66.195556640625 0
100 2.9853515625 1894.9091796875 1894.9091796875 0
50 3.300537109375 851.1572265625 851.1572265625 0
100 2.4111328125 1952.14501953125 1952.14501953125 0
200 2.802978515625 3794.3193359375 3794.3193359375 0
250 3.55029296875 4558.5146484375 4559.5146484375 4000
250 2.98046875 4445.377197265625 4445.377197265625 500
250 3.026611328125 4560.029296875 4560.029296875 8000
40 3.62109375 649.87646484375 649.87646484375 0
40 2.97412109375 602.681396484375 602.681396484375 200
150 3.48974609375 2681.995361328125 2681.995361328125 0
200 3.353759765625 3357.522216796875 3357.522216796875 0
500 3.012939453125 9162.962646484375 9162.962646484375 0
100 3.2626953125 1976.581298828125 1976.581298828125 0
350 3.204833984375 6380.6259765625 6380.6259765625 0
40 3.31494140625 602.50439453125 602.50439453125 0
350 2.31884765625 6037.738525390625 6037.738525390625 0
100 2.978271484375 1840.886962890625 1840.886962890625 0
15 3.37890625 287.213623046875 287.213623046875 0
250 2.80419921875 4049.38037109375 4049.38037109375 0
1 4.01708984375 52.927734375 52.927734375 0
150 2.939208984375 2609.41552734375 2609.41552734375 0
250 3.4560546875 4382.532958984375 4382.532958984375 0
500 2.95166015625 7844.701416015625 7844.701416015625 0
30 3.30908203125 456.8193359375 456.8193359375 0
1000 4.41748046875 16568.427490234375 16568.427490234375 0
15 3.466064453125 287.658447265625 287.658447265625 0
2000 3.520263671875 32398.134765625 32398.134765625 0
2000 6.45166015625 33099.782958984375 33100.782958984375 0
500 2.7490234375 7543.812255859375 7543.812255859375 0
2000 3.161376953125 33398.24755859375 33398.24755859375 0
5 2.94775390625 55.39697265625 55.39697265625 0
150 3.102783203125 2154.943603515625 2154.943603515625 0
15 2.7255859375 116.06982421875 116.06982421875 0
2000 3.161865234375 31203.434326171875 31203.434326171875 0
25 3.300537109375 548.883056640625 548.883056640625 0
350 4.72802734375 4990.174560546875 4990.174560546875 0
100 4.61572265625 1560.971923828125 1560.971923828125 0
500 3.856201171875 7054.5078125 7054.5078125 0
30 3.043212890625 378.621337890625 378.621337890625 0
150 5.236572265625 2177.587158203125 2177.587158203125 0
250 3.279296875 3330.615234375 3330.615234375 0
200 4.8671875 2939.965576171875 2939.965576171875 0
100 3.20947265625 1561.0185546875 1561.0185546875 0
200 5.68017578125 2828.883544921875 2828.883544921875 0
3 3.290771484375 95.325927734375 96.325927734375 0
500 2.724365234375 7013.810546875 7013.810546875 0
30 4.368896484375 380.474365234375 380.474365234375 0
200 3.2470703125 2792.6298828125 2792.6298828125 0
250 5.007080078125 3880.30419921875 3880.30419921875 0
40 2.927734375 417.330322265625 417.330322265625 0
2000 3.3603515625 27868.61181640625 27868.61181640625 0
4000 3.00634765625 59866.08056640625 59866.08056640625 0
2 2.61962890625 88.047119140625 88.047119140625 0
4000 2.941162109375 59953.7421875 59953.7421875 0
4000 3.6259765625 60464.39111328125 60464.39111328125 0
3 5.095458984375 100.09033203125 100.09033203125 700
40 3.20703125 473.14404296875 473.14404296875 0
15 3.275634765625 156.6142578125 157.6142578125 0
100 3.279052734375 1396.15234375 1396.15234375 0
250 2.50048828125 3784.705322265625 3784.705322265625 0
1000 3.111328125 13768.262451171875 13768.262451171875 0
250 2.68017578125 3246.222412109375 3246.222412109375 0
15 3.19580078125 131.843505859375 131.843505859375 8000
4000 3.204345703125 59854.398193359375 59854.398193359375 0
200 4.601806640625 2645.12451171875 2645.12451171875 0
150 2.550048828125 2070.528076171875 2070.528076171875 0
3 3.099365234375 64.427001953125 64.427001953125 250
3 4.4248046875 21.411376953125 21.411376953125 0
700 3.411376953125 9348.10888671875 9348.10888671875 0
4000 3.274658203125 57476.984130859375 57476.984130859375 0
250 3.235595703125 3155.6728515625 3155.6728515625 0
40 3.544677734375 430.7626953125 430.7626953125 0
250 3.089599609375 3349.894287109375 3349.894287109375 0
25 3.0166015625 704.348388671875 704.348388671875 0
30 2.7744140625 644.66357421875 644.66357421875 0
25 2.300537109375 371.590576171875 371.590576171875 0
15 2.435302734375 195.892578125 195.892578125 0
100 4.133544921875 1616.8662109375 1616.8662109375 0
5 2.606201171875 74.39404296875 74.39404296875 0
500 2.402099609375 6851.6328125 6851.6328125 0
15 2.891357421875 252.4169921875 252.4169921875 0
500 2.6767578125 6526.06005859375 6526.06005859375 0
150 3.04345703125 2136.169189453125 2136.169189453125 0
5 3.626953125 104.841552734375 104.841552734375 0
1000 4.750732421875 13383.767822265625 13383.767822265625 0
500 3.60546875 6477.768798828125 6477.768798828125 0
30 2.45166015625 591.2958984375 591.2958984375 0
2000 2.716796875 26584.817138671875 26584.817138671875 0
40 2.587646484375 420.121337890625 420.121337890625 0
4000 5.1728515625 54747.416259765625 54747.416259765625 0
1 3.79541015625 72.59619140625 72.59619140625 0
250 3.30419921875 3067.107421875 3067.107421875 0
4000 3.390380859375 53585.795166015625 53585.795166015625 0
15 2.83984375 180.839599609375 180.839599609375 350
50 5.5615234375 953.216064453125 953.216064453125 0
350 5.218017578125 4491.10888671875 4491.10888671875 0
350 2.5830078125 4550.0966796875 4550.0966796875 0
100 2.70361328125 1362.173583984375 1362.173583984375 0
50 2.44580078125 525.123779296875 525.123779296875 0
25 2.604736328125 299.486328125 299.486328125 0
2000 3.25390625 25260.056640625 25260.056640625 0
200 3.509033203125 2583.863037109375 2583.863037109375 0
25 2.939453125 225.554443359375 225.554443359375 350
2 2.929443359375 53.579833984375 53.579833984375 0
700 4.755859375 8538.530029296875 8538.530029296875 0
1 2.94580078125 51.80615234375 51.80615234375 0
1000 3.129150390625 12248.499755859375 12248.499755859375 0
350 4.056640625 4577.508544921875 4577.508544921875 0
1 2.949462890625 20.88232421875 20.88232421875 0
350 4.227294921875 4331.57177734375 4331.57177734375 0
2000 2.608642578125 24984.045166015625 24984.045166015625 0
4000 4.611572265625 51264.29833984375 51264.29833984375 0
700 2.77392578125 8753.79736328125 8753.79736328125 0
50 4.396484375 479.105224609375 479.105224609375 0
8000 3.268310546875 110766.0654296875 110766.0654296875 0
50 3.690673828125 796.60693359375 796.60693359375 0
8000 4.279541015625 112097.86669921875 112097.86669921875 0
350 4.4208984375 4218.574951171875 4218.574951171875 0
50 2.787841796875 676.489501953125 676.489501953125 0
8000 3.74365234375 112105.46826171875 112105.46826171875 0
3 2.612548828125 95.10546875 95.10546875 0
200 5.065673828125 2355.217041015625 2355.217041015625 0
500 3.167724609375 5616.31689453125 5616.31689453125 0
3 2.902587890625 54.233642578125 54.233642578125 0
700 4.205078125 8209.55712890625 8209.55712890625 0
150 3.451904296875 1739.5703125 1740.5703125 0
40 2.95068359375 841.606201171875 841.606201171875 0
30 2.743896484375 676.02490234375 676.02490234375 0
3 2.856689453125 29.4072265625 29.4072265625 0
15 2.998046875 180.4951171875 180.4951171875 0
250 2.714599609375 2847.307373046875 2847.307373046875 0
200 4.343505859375 2391.29443359375 2391.29443359375 0
1000 3.63037109375 11735.26416015625 11735.26416015625 0
8000 3.47802734375 106431.55322265625 106432.55322265625 0
5 2.623046875 97.64892578125 97.64892578125 0
3 3.248291015625 78.831787109375 78.831787109375 0
350 3.705810546875 4293.642333984375 4293.642333984375 0
2 2.561279296875 31.67626953125 31.67626953125 0
8000 3.29052734375 108368.841796875 108368.841796875 0
500 5.232666015625 5563.97216796875 5563.97216796875 0
500 3.9033203125 6085.1015625 6085.1015625 0
8000 5.174560546875 104329.67895507812 104329.67895507812 0
4000 4.159423828125 48582.94921875 48582.94921875 0
15 3.345458984375 113.117919921875 113.117919921875 0
500 2.882568359375 5724.61669921875 5724.61669921875 0
30 2.76220703125 370.907470703125 370.907470703125 2000
350 3.621337890625 3818.537841796875 3819.537841796875 0
1000 4.34765625 11617.367431640625 11618.367431640625 0
25 3.248046875 567.1044921875 567.1044921875 0
4000 3.995849609375 48058.4052734375 48058.4052734375 0
