wrk debian/4.1.0-3build1 [epoll] Copyright (C) 2012 Will Glozer
Running 10m test @ http://172.18.0.4:32329
  16 threads and 16 connections
2 1728400740141.5342 1728400740234.7268 93.192626953125 102.726806640625
3 1728400740165.7876 1728400740249.2876 83.5 114.28759765625
1 1728400740241.0525 1728400740338.7212 97.668701171875 101.72119140625
3 1728400740252.5823 1728400740346.883 94.30078125 96.883056640625
1 1728400740350.0537 1728400740444.5862 94.532470703125 96.586181640625
15 1728400740155.9373 1728400740541.0493 385.112060546875 403.04931640625
15 1728400740162.3281 1728400740646.7769 484.44873046875 509.77685546875
25 1728400740172.5017 1728400740749.8035 577.3017578125 615.803466796875
25 1728400740170.2588 1728400740945.3157 775.056884765625 805.315673828125
25 1728400740164.0178 1728400740950.2166 786.19873046875 814.216552734375
30 1728400740344.2097 1728400741430.9602 1086.75048828125 1090.960205078125
50 1728400740143.6458 1728400741743.4128 1599.76708984375 1609.412841796875
100 1728400740650.714 1728400744246.184 3595.469970703125 3598.18408203125
30 1728400744252.341 1728400744728.8425 476.50146484375 479.842529296875
100 1728400741748.5154 1728400745135.6653 3387.14990234375 3389.665283203125
25 1728400745144.0952 1728400745336.505 192.40966796875 197.5048828125
150 1728400740146.0037 1728400745344.1877 5198.18408203125 5212.187744140625
15 1728400745342.1716 1728400745437.2588 95.087158203125 98.2587890625
350 1728400744734.4353 1728400746235.389 1500.95361328125 1504.388916015625
250 1728400745443.98 1728400747135.4348 1691.454833984375 1696.434814453125
30 1728400747141.6265 1728400747529.3933 387.766845703125 391.393310546875
200 1728400740954.9585 1728400747937.3984 6982.43994140625 6985.3984375
3 1728400747946.9072 1728400748032.571 85.663818359375 88.571044921875
250 1728400740149.4485 1728400748833.1584 8683.7099609375 8694.158447265625
250 1728400740153.1946 1728400748932.277 8779.08251953125 8793.277099609375
150 1728400748038.3335 1728400748937.45 899.116455078125 902.449951171875
50 1728400748943.3767 1728400749334.0325 390.65576171875 394.032470703125
500 1728400746241.908 1728400750130.9521 3889.044189453125 3891.9521484375
50 1728400750140.2905 1728400752040.5005 1900.2099609375 1906.50048828125
50 1728400752047.1528 1728400752729.516 682.36328125 685.51611328125
1000 1728400745351.9194 1728400752935.3638 7583.4443359375 7587.36376953125
40 1728400752941.7659 1728400753241.0203 299.25439453125 303.020263671875
500 1728400749339.51 1728400753839.1204 4499.6103515625 4502.120361328125
50 1728400753844.8308 1728400754241.4895 396.65869140625 400.489501953125
25 1728400754247.9282 1728400754928.9072 680.97900390625 683.9072265625
30 1728400754935.4128 1728400755239.4814 304.068603515625 307.4814453125
250 1728400753247.2883 1728400755536.4746 2289.186279296875 2292.474609375
250 1728400755244.5398 1728400757329.8025 2085.2626953125 2087.802490234375
30 1728400757335.5278 1728400757630.002 294.47412109375 298.001953125
500 1728400740175.2205 1728400757738.5957 17563.375244140625 17596.595703125
500 1728400740952.8428 1728400757845.5417 16892.698974609375 16898.541748046875
1 1728400757850.8958 1728400757931.4912 80.595458984375 83.4912109375
