wrk debian/4.1.0-3build1 [epoll] Copyright (C) 2012 Will Glozer
Running 10m test @ http://172.18.0.4:32329
  16 threads and 16 connections
1 1728397000615.6619 1728397000635.4968 19.8349609375 37.496826171875
2 1728397000620.3162 1728397000642.287 21.970947265625 45.287109375
2 1728397000608.5754 1728397000742.3901 133.814697265625 149.39013671875
3 1728397000592.707 1728397000746.953 154.245849609375 157.952880859375
1 1728397000646.5142 1728397000836.6494 190.13525390625 199.6494140625
5 1728397000611.0654 1728397000844.3135 233.248046875 253.3134765625
5 1728397000751.2766 1728397000946.622 195.345458984375 198.6220703125
15 1728397000597.3325 1728397001142.8423 545.509765625 552.84228515625
25 1728397000600.017 1728397001737.7317 1137.714599609375 1143.731689453125
1 1728397001744.063 1728397001932.1836 188.12060546875 191.18359375
30 1728397000604.1162 1728397001935.999 1331.8828125 1343.9990234375
50 1728397000613.2214 1728397002532.64 1919.41845703125 1941.639892578125
50 1728397000648.6555 1728397002630.0706 1981.4150390625 1986.070556640625
3 1728397002636.2114 1728397002641.2327 5.021240234375 8.232666015625
50 1728397000749.5317 1728397002745.2869 1995.755126953125 1998.286865234375
30 1728397002750.8586 1728397003036.8215 285.962890625 288.821533203125
1 1728397003043.0476 1728397003130.5002 87.45263671875 90.500244140625
2 1728397003135.2976 1728397003142.4246 7.126953125 10.424560546875
50 1728397003146.6465 1728397003539.568 392.921630859375 395.568115234375
1 1728397003545.2854 1728397003631.1157 85.830322265625 89.11572265625
3 1728397003636.3882 1728397003643.378 6.98974609375 10.3779296875
1 1728397003647.7363 1728397003731.4365 83.7001953125 86.4365234375
5 1728397003736.0193 1728397003743.4878 7.468505859375 9.48779296875
150 1728397002644.5168 1728397003833.5132 1188.996337890625 1190.51318359375
100 1728397000595.0369 1728397004239.1685 3644.131591796875 3650.16845703125
150 1728397003838.879 1728397005339.1055 1500.2265625 1503.10546875
100 1728397001944.76 1728397005543.1836 3598.423583984375 3605.18359375
30 1728397005344.7764 1728397005640.9666 296.190185546875 298.966552734375
500 1728397002540.7737 1728397006039.2563 3498.482666015625 3501.25634765625
200 1728397001940.752 1728397008435.0505 6494.298583984375 6498.050537109375
200 1728397005646.8662 1728397008633.7134 2986.84716796875 2989.71337890625
350 1728397004245.0354 1728397008833.0564 4588.02099609375 4592.056396484375
5 1728397008839.657 1728397008940.1804 100.5234375 105.180419921875
1 1728397008945.5842 1728397009034.1167 88.532470703125 92.11669921875
250 1728397005552.108 1728397009037.1726 3485.064697265625 3490.172607421875
150 1728397008444.7578 1728397011232.9421 2788.184326171875 2792.942138671875
350 1728397000602.4739 1728397011639.303 11036.8291015625 11046.302978515625
150 1728397009039.82 1728397011935.3733 2895.55322265625 2899.373291015625
350 1728397000606.647 1728397012036.0605 11429.41357421875 11444.060546875
350 1728397001150.8574 1728397012934.5198 11783.662353515625 11786.519775390625
30 1728397012041.5762 1728397012935.619 894.042724609375 897.618896484375
5 1728397012943.9604 1728397013141.3772 197.416748046875 204.377197265625
40 1728397012948.0454 1728397014031.5835 1083.5380859375 1093.58349609375
500 1728397000624.4937 1728397014535.375 13910.88134765625 13940.375
500 1728397000617.9226 1728397014931.3635 14313.44091796875 14333.363525390625
15 1728397014941.6912 1728397015344.2961 402.60498046875 409.296142578125
30 1728397015349.7825 1728397016140.3174 790.534912109375 793.3173828125
3 1728397016147.1453 1728397016331.5808 184.435546875 188.580810546875
2 1728397016339.1328 1728397016441.7004 102.567626953125 107.700439453125
700 1728397000622.1355 1728397017635.948 17013.8125 17038.947998046875
