wrk debian/4.1.0-3build1 [epoll] Copyright (C) 2012 Will Glozer
Running 10m test @ http://172.18.0.4:32329
  16 threads and 16 connections
1 1728912044730.6343 1728912044832.372 101.73779296875 104.3720703125 redis-benchmark-00001-deployment-847b675f9c-nclwh
3 1728912044726.9282 1728912044834.1812 107.2529296875 110.18115234375 redis-benchmark-00001-deployment-847b675f9c-842cx
2 1728912044729.951 1728912044834.4712 104.520263671875 108.47119140625 redis-benchmark-00001-deployment-847b675f9c-6sjwl
1 1728912044729.5862 1728912044834.8074 105.22119140625 108.807373046875 redis-benchmark-00001-deployment-847b675f9c-6gd7m
5 1728912044724.0774 1728912044838.1797 114.102294921875 117.1796875 redis-benchmark-00001-deployment-847b675f9c-ldw4v
1 1728912044917.8047 1728912044935.0134 17.208740234375 20.013427734375 redis-benchmark-00001-deployment-847b675f9c-82ttn
2 1728912044917.841 1728912045030.653 112.81201171875 115.653076171875 redis-benchmark-00001-deployment-847b675f9c-np498
15 1728912044726.831 1728912045138.9468 412.11572265625 415.94677734375 redis-benchmark-00001-deployment-847b675f9c-ldp9k
25 1728912044698.8757 1728912045335.0933 636.217529296875 639.09326171875 redis-benchmark-00001-deployment-847b675f9c-f5z6v
40 1728912044726.0352 1728912045538.8865 812.851318359375 816.886474609375 redis-benchmark-00001-deployment-847b675f9c-m2sv4
40 1728912044920.4446 1728912045640.2239 719.779296875 723.223876953125 redis-benchmark-00001-deployment-847b675f9c-fqbkm
50 1728912044725.6685 1728912045729.586 1003.91748046875 1006.5859375 redis-benchmark-00001-deployment-847b675f9c-p2lfw
100 1728912045705.0854 1728912047737.4275 2032.342041015625 2035.427490234375 redis-benchmark-00001-deployment-847b675f9c-p2lfw
150 1728912044998.8232 1728912047931.1716 2932.348388671875 2935.171630859375 redis-benchmark-00001-deployment-847b675f9c-chwrr
150 1728912045399.7468 1728912048231.487 2831.740234375 2834.487060546875 redis-benchmark-00001-deployment-847b675f9c-ldw4v
3 1728912048327.8147 1728912048431.9338 104.119140625 107.933837890625 redis-benchmark-00001-deployment-847b675f9c-q2q2t
30 1728912048027.7402 1728912048533.998 506.2578125 508.998046875 redis-benchmark-00001-deployment-847b675f9c-842cx
200 1728912044728.4617 1728912048542.8242 3814.362548828125 3817.82421875 redis-benchmark-00001-deployment-847b675f9c-c4l4g
200 1728912044729.657 1728912048628.1396 3898.482666015625 3901.1396484375 redis-benchmark-00001-deployment-847b675f9c-pj79f
15 1728912048445.5002 1728912048738.0984 292.59814453125 295.098388671875 redis-benchmark-00001-deployment-847b675f9c-hqgjz
200 1728912045812.9214 1728912049435.2422 3622.32080078125 3625.2421875 redis-benchmark-00001-deployment-847b675f9c-ldp9k
250 1728912044922.3562 1728912049631.5583 4709.2021484375 4712.558349609375 redis-benchmark-00001-deployment-847b675f9c-fb65p
350 1728912048814.3638 1728912055431.234 6616.8701171875 6620.23388671875 redis-benchmark-00001-deployment-847b675f9c-6sjwl
700 1728912044729.8103 1728912057939.2974 13209.487060546875 13212.29736328125 redis-benchmark-00001-deployment-847b675f9c-td22z
700 1728912044728.906 1728912058739.8167 14010.91064453125 14015.816650390625 redis-benchmark-00001-deployment-847b675f9c-n7x67
200 1728912055466.1196 1728912058937.7957 3471.676025390625 3473.795654296875 redis-benchmark-00001-deployment-847b675f9c-nclwh
15 1728912059029.4888 1728912059239.4456 209.956787109375 212.445556640625 redis-benchmark-00001-deployment-847b675f9c-82ttn
5 1728912059283.1108 1728912059529.804 246.693115234375 249.803955078125 redis-benchmark-00001-deployment-847b675f9c-fqbkm
100 1728912058024.1926 1728912059733.0054 1708.812744140625 1713.00537109375 redis-benchmark-00001-deployment-847b675f9c-dch79
15 1728912059797.7288 1728912060241.4465 443.7177734375 446.446533203125 redis-benchmark-00001-deployment-847b675f9c-chwrr
30 1728912059591.5947 1728912060337.8328 746.238037109375 748.832763671875 redis-benchmark-00001-deployment-847b675f9c-fb65p
1 1728912060354.1858 1728912060434.589 80.4033203125 83.589111328125 redis-benchmark-00001-deployment-847b675f9c-f5z6v
700 1728912048548.0527 1728912061429.7993 12881.74658203125 12884.79931640625 redis-benchmark-00001-deployment-847b675f9c-c4l4g
15 1728912061507.4316 1728912061831.473 324.041259765625 327.472900390625 redis-benchmark-00001-deployment-847b675f9c-m2sv4
700 1728912049500.8657 1728912062633.0156 13132.14990234375 13136.015625 redis-benchmark-00001-deployment-847b675f9c-td22z
250 1728912058825.4321 1728912063438.6975 4613.265380859375 4615.697509765625 redis-benchmark-00001-deployment-847b675f9c-np498
15 1728912063505.5862 1728912063736.7776 231.19140625 235.777587890625 redis-benchmark-00001-deployment-847b675f9c-n7x67
1000 1728912045622.2788 1728912063936.1821 18313.9033203125 18317.18212890625 redis-benchmark-00001-deployment-847b675f9c-m2sv4
15 1728912064000.3918 1728912064239.9736 239.581787109375 241.9736328125 redis-benchmark-00001-deployment-847b675f9c-q2q2t
1000 1728912047834.5662 1728912067629.4895 19794.92333984375 19799.489501953125 redis-benchmark-00001-deployment-847b675f9c-n7x67
350 1728912061866.34 1728912068237.4631 6371.123046875 6373.463134765625 redis-benchmark-00001-deployment-847b675f9c-p2lfw
200 1728912067644.1123 1728912070843.6196 3199.50732421875 3202.61962890625 redis-benchmark-00001-deployment-847b675f9c-c4l4g
500 1728912062729.5007 1728912071141.8005 8412.2998046875 8414.800537109375 redis-benchmark-00001-deployment-847b675f9c-ldp9k
15 1728912071155.902 1728912071429.0889 273.186767578125 276.0888671875 redis-benchmark-00001-deployment-847b675f9c-6sjwl
50 1728912070922.794 1728912071929.0544 1006.260498046875 1012.054443359375 redis-benchmark-00001-deployment-847b675f9c-6gd7m
500 1728912063833.4382 1728912072540.3987 8706.96044921875 8709.398681640625 redis-benchmark-00001-deployment-847b675f9c-842cx
50 1728912071964.8948 1728912072931.85 966.955322265625 970.85009765625 redis-benchmark-00001-deployment-847b675f9c-pj79f
100 1728912071504.8018 1728912073235.0464 1730.24462890625 1733.04638671875 redis-benchmark-00001-deployment-847b675f9c-td22z
700 1728912064335.8838 1728912075941.9292 11606.04541015625 11608.92919921875 redis-benchmark-00001-deployment-847b675f9c-hqgjz
500 1728912068330.163 1728912076240.879 7910.7158203125 7914.87890625 redis-benchmark-00001-deployment-847b675f9c-bcwgd
1000 1728912060337.381 1728912076934.7927 16597.41162109375 16600.792724609375 redis-benchmark-00001-deployment-847b675f9c-c424g
30 1728912076948.6482 1728912077641.3337 692.685546875 695.333740234375 redis-benchmark-00001-deployment-847b675f9c-fb65p
2000 1728912045222.5608 1728912079732.1794 34509.61865234375 34512.179443359375 redis-benchmark-00001-deployment-847b675f9c-f5z6v
2000 1728912045094.7886 1728912079831.5261 34736.737548828125 34739.526123046875 redis-benchmark-00001-deployment-847b675f9c-c424g
2 1728912079927.9512 1728912079937.6777 9.7265625 12.677734375 redis-benchmark-00001-deployment-847b675f9c-f5z6v
2000 1728912044915.7065 1728912080235.4607 35319.754150390625 35322.460693359375 redis-benchmark-00001-deployment-847b675f9c-dch79
500 1728912073024.5513 1728912080830.2722 7805.720947265625 7809.272216796875 redis-benchmark-00001-deployment-847b675f9c-dch79
